segment,timestamp_sec,face_count,head_count,head_up_rate
head_detect_seg001,1.0,10,27,0.3333
head_detect_seg001,2.0,14,26,0.5000
head_detect_seg001,3.0,13,27,0.4815
head_detect_seg001,4.0,14,27,0.5185
head_detect_seg001,5.0,13,27,0.4815
head_detect_seg001,6.0,13,26,0.4615
head_detect_seg001,7.0,15,27,0.5185
head_detect_seg001,8.0,14,25,0.4800
head_detect_seg001,9.0,14,27,0.4444
head_detect_seg001,10.0,15,26,0.5769
head_detect_seg001,11.0,17,25,0.5600
head_detect_seg001,12.0,19,26,0.6538
head_detect_seg001,13.0,18,28,0.6071
head_detect_seg001,14.0,16,30,0.5000
head_detect_seg001,15.0,16,28,0.5357
head_detect_seg001,16.0,19,29,0.5517
head_detect_seg001,17.0,14,29,0.4483
head_detect_seg001,18.0,15,28,0.5357
head_detect_seg001,19.0,18,26,0.6154
head_detect_seg001,20.0,15,26,0.5385
head_detect_seg001,21.0,11,30,0.3667
head_detect_seg001,22.0,12,28,0.4286
head_detect_seg001,23.0,13,21,0.5238
head_detect_seg001,24.0,17,23,0.6957
head_detect_seg001,25.0,17,24,0.5833
head_detect_seg001,26.0,11,21,0.4762
head_detect_seg001,27.0,14,23,0.5217
head_detect_seg001,28.0,9,22,0.3636
head_detect_seg001,29.0,10,26,0.3462
head_detect_seg001,30.0,16,25,0.6000
head_detect_seg001,31.0,10,27,0.3704
head_detect_seg001,32.0,14,27,0.4444
head_detect_seg001,33.0,9,28,0.3214
head_detect_seg001,34.0,11,29,0.3448
head_detect_seg001,35.0,12,28,0.3929
head_detect_seg001,36.0,10,28,0.3571
head_detect_seg001,37.0,11,27,0.4074
head_detect_seg001,38.0,11,29,0.3793
head_detect_seg001,39.0,11,25,0.4000
head_detect_seg001,40.0,14,27,0.4815
head_detect_seg001,41.0,12,30,0.4000
head_detect_seg001,42.0,15,31,0.4194
head_detect_seg001,43.0,12,29,0.4138
head_detect_seg001,44.0,13,27,0.4815
head_detect_seg001,45.0,13,26,0.5000
head_detect_seg001,46.0,13,28,0.4643
head_detect_seg001,47.0,11,30,0.3333
head_detect_seg001,48.0,14,32,0.4062
head_detect_seg001,49.0,14,30,0.4333
head_detect_seg001,50.1,16,26,0.5385
head_detect_seg001,51.1,14,26,0.4615
head_detect_seg001,52.1,14,26,0.4615
head_detect_seg001,53.1,18,29,0.5862
head_detect_seg001,54.1,17,28,0.6071
head_detect_seg001,55.1,21,26,0.6538
head_detect_seg001,56.1,19,29,0.6207
head_detect_seg001,57.1,19,26,0.6538
head_detect_seg001,58.1,16,26,0.5000
head_detect_seg001,59.1,16,27,0.5556
head_detect_seg001,60.1,13,28,0.4286
head_detect_seg001,61.1,15,30,0.5000
head_detect_seg001,62.1,16,25,0.5200
head_detect_seg001,63.1,14,24,0.5000
head_detect_seg001,64.1,15,26,0.5385
head_detect_seg001,65.1,12,27,0.4074
head_detect_seg001,66.1,13,27,0.4444
head_detect_seg001,67.1,13,27,0.4074
head_detect_seg001,68.1,17,27,0.5185
head_detect_seg001,69.1,17,27,0.5556
head_detect_seg001,70.1,18,27,0.5556
head_detect_seg001,71.1,18,25,0.6000
head_detect_seg001,72.1,19,24,0.6250
head_detect_seg001,73.1,16,25,0.5200
head_detect_seg001,74.1,15,26,0.4615
head_detect_seg001,75.1,16,27,0.5185
head_detect_seg001,76.1,17,26,0.6154
head_detect_seg001,77.1,13,24,0.5000
head_detect_seg001,78.1,14,25,0.5200
head_detect_seg001,79.1,18,25,0.6000
head_detect_seg001,80.1,16,27,0.5556
head_detect_seg001,81.1,15,25,0.5200
head_detect_seg001,82.1,16,27,0.5556
head_detect_seg001,83.1,15,27,0.5185
head_detect_seg001,84.1,14,25,0.5600
head_detect_seg001,85.1,15,27,0.5556
head_detect_seg001,86.1,15,26,0.5769
head_detect_seg001,87.1,12,25,0.4800
head_detect_seg001,88.1,15,26,0.5769
head_detect_seg001,89.1,12,28,0.4286
head_detect_seg001,90.1,11,28,0.3929
head_detect_seg001,91.1,15,28,0.5357
head_detect_seg001,92.1,15,28,0.5000
head_detect_seg001,93.1,17,27,0.5556
head_detect_seg001,94.1,13,27,0.4444
head_detect_seg001,95.1,17,25,0.6000
head_detect_seg001,96.1,12,29,0.3448
head_detect_seg001,97.1,12,26,0.4231
head_detect_seg001,98.1,15,25,0.5200
head_detect_seg001,99.1,11,25,0.4000
head_detect_seg001,100.1,12,26,0.3846
head_detect_seg001,101.1,13,28,0.4286
head_detect_seg001,102.1,14,27,0.4815
head_detect_seg001,103.1,11,25,0.4000
head_detect_seg001,104.1,12,25,0.4800
head_detect_seg001,105.1,13,27,0.4444
head_detect_seg001,106.1,14,25,0.5200
head_detect_seg001,107.1,13,23,0.4783
head_detect_seg001,108.1,13,26,0.4231
head_detect_seg001,109.1,9,27,0.3333
head_detect_seg001,110.1,8,27,0.2963
head_detect_seg001,111.1,12,25,0.4000
head_detect_seg001,112.1,15,25,0.5600
head_detect_seg001,113.1,11,29,0.3793
head_detect_seg001,114.1,14,26,0.5385
head_detect_seg001,115.1,13,26,0.4615
head_detect_seg001,116.1,11,24,0.3750
head_detect_seg002,0.0,13,26,0.4615
head_detect_seg002,1.0,13,29,0.4138
head_detect_seg002,2.0,15,23,0.5652
head_detect_seg002,3.0,17,23,0.6522
head_detect_seg002,4.0,15,25,0.5200
head_detect_seg002,5.0,16,25,0.5600
head_detect_seg002,6.0,15,26,0.5385
head_detect_seg002,7.0,15,28,0.5357
head_detect_seg002,8.0,14,27,0.5185
